Frame	 PSNR-Y 	 PSNR-U 	 PSNR-V 	 PSNR-All 	 Frame	  SSIM-Y	  SSIM-U	  SSIM-V	  SSIM-All	 Frame
   56	 48.398492	 49.032500	 48.165284	 48.457275	     	  0.989556	  0.988395	  0.988456	  0.989179	     
   57	 47.077953	 48.364057	 47.388406	 47.320039	     	  0.989990	  0.987595	  0.987809	  0.989227	     
   58	 48.273369	 48.822423	 47.925918	 48.299118	     	  0.990376	  0.988325	  0.988599	  0.989738	     
   59	 47.150946	 48.185910	 47.120969	 47.302010	     	  0.990144	  0.987279	  0.987342	  0.989200	     
   60	 48.385891	 48.991838	 48.197188	 48.448458	     	  0.989736	  0.988293	  0.988739	  0.989329	     
   61	 47.019040	 48.008072	 46.857970	 47.140798	  min	  0.990163	  0.986962	  0.986987	  0.989100	     
   62	 48.165218	 48.767469	 47.904966	 48.214522	     	  0.990412	  0.988277	  0.988769	  0.989783	     
   63	 47.034814	 47.743347	 46.643856	 47.075783	  min	  0.990114	  0.986500	  0.986543	  0.988916	     
   64	 48.271022	 48.905392	 48.148180	 48.349327	     	  0.989724	  0.988146	  0.988902	  0.989324	     
   65	 46.519786	 47.328856	 46.036293	 46.557742	  min	  0.989955	  0.985481	  0.985380	  0.988447	     
   66	 47.031494	 48.003694	 47.137598	 47.197266	     	  0.989940	  0.986758	  0.987458	  0.988996	     
   67	 46.459920	 47.053670	 45.783735	 46.430567	  min	  0.989771	  0.984826	  0.984549	  0.988076	     
   68	 47.690261	 48.195332	 47.371534	 47.714678	     	  0.989378	  0.986764	  0.987543	  0.988637	     
   69	 46.295004	 46.935630	 45.662139	 46.280747	  min	  0.989605	  0.984331	  0.984185	  0.987823	     
   70	 46.888480	 47.580895	 46.690970	 46.962095	     	  0.989720	  0.985663	  0.986437	  0.988497	     
   71	 46.317114	 46.911861	 45.709729	 46.301128	     	  0.989613	  0.984359	  0.984323	  0.987856	     
   72	 47.521629	 47.959165	 47.074445	 47.512506	     	  0.989192	  0.986177	  0.986987	  0.988322	     
